@relation kd1000-weka.filters.unsupervised.attribute.NumericCleaner-min1.0-min-defaultNaN-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1

@attribute Geschlecht {w,m}
@attribute Alter {18-30,41-50,>60,31-40,51-60}
@attribute Kinder {nein,ja}
@attribute Familienstand {Partnerschaft,ledig}
@attribute Berufstaetig {ja,nein}
@attribute Einkaufstag {Montag,Mittwoch,Dienstag,Freitag,Samstag,Donnerstag}
@attribute Einkaufsuhrzeit {'10-12 Uhr','<10 Uhr','>17 Uhr','12-14 Uhr','14-17 Uhr'}
@attribute Wohnort {'> 25 km','< 10 km','10 - 25 km'}
@attribute Haushaltsnettoeinkommen {2000-<3200,>4500,1000-<2000,<1000,3200-<4500}
@attribute Stammkunde {'1 bis 5',0,'> 5'}
@attribute Einkaufssumme numeric
@attribute Elektrowerkzeuge numeric
@attribute Eisenwaren numeric
@attribute Handwerkzeuge numeric
@attribute Sanitaermaterial numeric
@attribute Schliesstechnik numeric
@attribute Fliesen numeric
@attribute Farben numeric
@attribute Armaturen numeric
@attribute Renovierung numeric
@attribute Elektromaterial numeric
@attribute Baustoffe numeric
@attribute Holz numeric
@attribute Bodenbelag numeric
@attribute Leuchten numeric
@attribute Aktionsware numeric

@data
m,>60,nein,ledig,ja,Freitag,'10-12 Uhr','< 10 km',1000-<2000,'1 bis 5',468,?,?,51,123,?,38,?,126,?,132,64,30,?,?,68
m,31-40,nein,ledig,nein,Freitag,'14-17 Uhr','< 10 km',1000-<2000,'> 5',60,?,?,?,13,?,?,?,?,?,47,?,?,?,42,?
m,>60,nein,ledig,ja,Dienstag,'12-14 Uhr','< 10 km',2000-<3200,'> 5',941,?,6,16,48,38,?,?,?,?,64,126,?,?,43,318
w,31-40,ja,ledig,ja,Samstag,'<10 Uhr','< 10 km',2000-<3200,'> 5',337,?,?,30,48,?,?,50,124,178,42,?,?,?,?,119
m,31-40,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',167,?,10,18,16,?,?,?,?,?,?,78,63,?,?,?
m,51-60,ja,ledig,ja,Samstag,'>17 Uhr','< 10 km',3200-<4500,0,534,?,?,40,?,?,?,?,?,222,120,?,102,?,?,240
m,>60,ja,ledig,ja,Samstag,'14-17 Uhr','< 10 km',1000-<2000,'1 bis 5',335,?,12,27,?,31,?,?,?,?,?,?,?,186,?,74
m,18-30,nein,Partnerschaft,nein,Samstag,'<10 Uhr','10 - 25 km',2000-<3200,'1 bis 5',192,?,12,36,99,?,?,?,?,15,?,?,?,?,?,?
m,>60,ja,ledig,ja,Dienstag,'14-17 Uhr','< 10 km',3200-<4500,'1 bis 5',192,90,18,?,?,31,?,?,?,210,84,?,?,?,?,?
w,18-30,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',>4500,'1 bis 5',670,?,12,24,?,40,?,?,?,126,?,198,26,?,?,292
m,>60,nein,Partnerschaft,ja,Dienstag,'14-17 Uhr','> 25 km',<1000,'> 5',205,?,7,24,?,78,?,?,?,?,?,198,?,?,?,?
m,18-30,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',3200-<4500,'> 5',575,?,12,?,?,78,?,?,?,9,120,?,32,?,56,264
w,41-50,ja,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',3200-<4500,'> 5',722,51,10,57,90,?,59,?,?,321,?,106,?,?,?,?
w,31-40,ja,ledig,nein,Samstag,'10-12 Uhr','< 10 km',3200-<4500,'1 bis 5',243,?,2,8,50,50,95,?,?,?,?,?,?,?,?,189
w,>60,ja,ledig,ja,Mittwoch,'<10 Uhr','< 10 km',1000-<2000,'1 bis 5',771,79,10,26,19,20,162,99,426,46,171,393,?,?,?,?
m,41-50,nein,Partnerschaft,ja,Samstag,'<10 Uhr','< 10 km',>4500,0,498,?,3,45,?,?,?,?,?,?,?,?,?,?,?,495
m,41-50,ja,ledig,ja,Dienstag,'14-17 Uhr','10 - 25 km',1000-<2000,0,222,?,12,28,?,36,?,?,?,?,?,105,?,?,?,?
m,>60,nein,ledig,ja,Freitag,'<10 Uhr','< 10 km',<1000,'1 bis 5',177,?,?,?,?,?,?,?,?,86,?,?,?,?,?,91
m,18-30,nein,Partnerschaft,ja,Samstag,'14-17 Uhr','10 - 25 km',2000-<3200,'1 bis 5',430,?,?,8,?,?,?,?,?,?,?,280,?,?,?,142
m,18-30,ja,ledig,ja,Dienstag,'10-12 Uhr','< 10 km',3200-<4500,'1 bis 5',147,35,6,?,?,50,?,?,?,?,106,?,?,?,70,?
m,51-60,ja,ledig,nein,Samstag,'14-17 Uhr','< 10 km',3200-<4500,'> 5',204,?,?,28,?,?,?,?,?,?,?,?,?,?,?,176
m,31-40,ja,ledig,ja,Dienstag,'10-12 Uhr','< 10 km',<1000,'1 bis 5',210,?,6,10,36,24,22,?,136,44,168,?,?,?,81,?
m,41-50,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',555,?,?,8,150,?,?,?,188,60,120,141,4,?,60,132
m,31-40,ja,Partnerschaft,ja,Donnerstag,'>17 Uhr','< 10 km',3200-<4500,'1 bis 5',749,170,6,36,?,72,?,57,255,160,43,144,?,?,78,?
m,31-40,ja,ledig,nein,Samstag,'10-12 Uhr','< 10 km',<1000,'1 bis 5',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
m,31-40,ja,Partnerschaft,nein,Freitag,'10-12 Uhr','10 - 25 km',1000-<2000,0,693,?,6,12,25,?,220,?,89,?,?,272,?,?,?,390
m,18-30,nein,ledig,ja,Donnerstag,'<10 Uhr','< 10 km',1000-<2000,'1 bis 5',332,?,8,?,6,32,219,?,?,55,?,231,32,?,?,?
w,>60,ja,Partnerschaft,nein,Montag,'>17 Uhr','10 - 25 km',2000-<3200,'1 bis 5',823,?,15,14,?,?,?,?,?,432,?,190,?,?,?,108
m,18-30,ja,ledig,ja,Samstag,'<10 Uhr','> 25 km',2000-<3200,'1 bis 5',48,?,3,?,?,?,?,?,?,?,?,?,16,?,?,29
w,31-40,nein,ledig,nein,Montag,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',718,327,7,22,110,48,?,?,?,?,68,?,?,?,?,86
w,31-40,ja,Partnerschaft,nein,Montag,'<10 Uhr','10 - 25 km',<1000,'1 bis 5',257,?,15,22,15,11,244,?,164,?,?,161,?,?,?,38
m,18-30,nein,Partnerschaft,nein,Freitag,'>17 Uhr','< 10 km',<1000,0,378,?,?,14,?,?,?,?,?,98,170,?,?,?,147,194
m,41-50,nein,ledig,nein,Samstag,'10-12 Uhr','< 10 km',2000-<3200,0,488,249,?,?,44,?,?,?,89,195,?,?,?,?,?,?
m,18-30,nein,ledig,nein,Donnerstag,'14-17 Uhr','10 - 25 km',1000-<2000,0,82,?,12,5,?,87,?,?,?,160,56,?,?,?,54,?
m,18-30,ja,ledig,ja,Samstag,'>17 Uhr','10 - 25 km',2000-<3200,'> 5',14,?,14,14,?,?,?,?,?,?,?,?,?,?,?,?
m,18-30,ja,ledig,ja,Freitag,'14-17 Uhr','> 25 km',2000-<3200,'> 5',323,?,?,?,?,?,?,?,284,?,?,?,?,?,?,39
m,31-40,nein,Partnerschaft,nein,Dienstag,'>17 Uhr','10 - 25 km',2000-<3200,0,239,44,6,7,?,?,?,?,?,100,31,?,32,?,?,?
m,41-50,ja,ledig,nein,Freitag,'14-17 Uhr','< 10 km',>4500,'1 bis 5',438,?,3,24,144,?,?,9,?,?,?,282,?,?,?,?
m,41-50,nein,Partnerschaft,nein,Dienstag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',442,58,21,?,?,?,?,?,?,111,147,156,?,?,?,?
m,51-60,nein,Partnerschaft,ja,Samstag,'14-17 Uhr','10 - 25 km',>4500,'> 5',77,28,?,?,?,?,?,?,?,49,?,?,?,?,?,?
m,>60,nein,ledig,ja,Freitag,'10-12 Uhr','10 - 25 km',1000-<2000,'> 5',387,?,?,28,24,48,48,?,?,156,28,178,8,?,37,73
w,>60,ja,ledig,ja,Dienstag,'10-12 Uhr','> 25 km',3200-<4500,'> 5',227,?,?,?,35,?,18,120,?,?,72,?,?,?,70,?
m,>60,ja,Partnerschaft,nein,Samstag,'10-12 Uhr','10 - 25 km',1000-<2000,0,132,?,6,3,96,?,?,?,270,102,18,?,?,?,38,?
m,31-40,nein,ledig,nein,Freitag,'14-17 Uhr','< 10 km',>4500,'> 5',367,98,12,?,78,46,?,?,?,?,94,?,50,?,63,?
w,31-40,ja,ledig,nein,Donnerstag,'12-14 Uhr','< 10 km',2000-<3200,'> 5',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
m,41-50,ja,ledig,ja,Freitag,'<10 Uhr','10 - 25 km',<1000,'1 bis 5',313,?,?,19,?,?,?,?,?,72,39,?,42,?,32,213
m,41-50,ja,Partnerschaft,ja,Donnerstag,'<10 Uhr','10 - 25 km',1000-<2000,'1 bis 5',440,55,14,16,?,62,?,?,?,?,129,188,38,?,?,?
w,>60,ja,ledig,ja,Freitag,'12-14 Uhr','< 10 km',1000-<2000,'1 bis 5',183,56,10,28,?,66,?,?,?,?,?,?,?,?,?,117
m,>60,nein,ledig,ja,Dienstag,'<10 Uhr','10 - 25 km',2000-<3200,'1 bis 5',53,?,4,38,?,75,49,?,?,?,?,?,?,?,?,?
m,>60,nein,Partnerschaft,ja,Freitag,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',660,?,?,?,?,?,190,?,?,50,198,?,?,?,?,104
w,31-40,nein,Partnerschaft,ja,Dienstag,'12-14 Uhr','10 - 25 km',1000-<2000,0,514,153,6,?,30,52,240,?,8,76,?,242,?,?,?,?
w,51-60,nein,Partnerschaft,nein,Montag,'14-17 Uhr','< 10 km',1000-<2000,'> 5',198,100,6,12,?,78,?,?,?,?,?,18,58,?,?,?
m,31-40,nein,Partnerschaft,ja,Dienstag,'10-12 Uhr','> 25 km',>4500,0,638,?,?,10,?,?,174,?,?,274,?,180,?,?,?,?
w,31-40,ja,Partnerschaft,ja,Montag,'>17 Uhr','< 10 km',<1000,'> 5',29,7,?,?,22,?,66,?,?,?,?,?,?,?,?,?
w,>60,ja,Partnerschaft,nein,Dienstag,'14-17 Uhr','< 10 km',>4500,'1 bis 5',759,?,?,13,117,?,?,?,124,114,?,44,?,?,?,471
m,41-50,nein,Partnerschaft,ja,Donnerstag,'<10 Uhr','10 - 25 km',3200-<4500,'> 5',216,?,1,51,39,?,62,?,?,153,50,?,?,?,?,?
m,>60,nein,ledig,nein,Freitag,'10-12 Uhr','< 10 km',1000-<2000,'> 5',160,?,2,8,102,42,148,?,102,?,?,56,?,?,?,?
m,18-30,nein,Partnerschaft,nein,Samstag,'<10 Uhr','10 - 25 km',3200-<4500,'1 bis 5',545,?,7,4,?,84,?,?,?,?,36,360,64,?,68,?
w,41-50,ja,Partnerschaft,ja,Freitag,'>17 Uhr','< 10 km',<1000,'> 5',177,?,14,16,51,16,?,?,222,28,56,?,?,?,189,?
w,31-40,nein,ledig,ja,Freitag,'14-17 Uhr','< 10 km',3200-<4500,'1 bis 5',399,?,?,?,?,?,?,?,?,?,132,?,?,?,66,267
m,>60,nein,ledig,ja,Mittwoch,'>17 Uhr','> 25 km',1000-<2000,'> 5',604,?,4,12,?,20,?,?,?,96,45,?,57,240,?,?
w,41-50,nein,ledig,nein,Mittwoch,'>17 Uhr','< 10 km',<1000,'1 bis 5',390,?,4,18,124,28,48,?,?,?,87,158,17,?,126,?
m,18-30,nein,Partnerschaft,ja,Samstag,'<10 Uhr','10 - 25 km',2000-<3200,'1 bis 5',659,150,3,?,159,2,138,?,290,57,?,?,?,?,?,290
w,31-40,nein,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',137,?,6,12,?,8,?,?,?,?,?,88,?,?,?,40
w,18-30,nein,Partnerschaft,ja,Freitag,'14-17 Uhr','> 25 km',1000-<2000,'1 bis 5',280,?,?,?,?,?,?,?,110,43,?,127,?,?,?,?
w,18-30,nein,Partnerschaft,nein,Samstag,'10-12 Uhr','< 10 km',1000-<2000,'1 bis 5',457,?,?,26,13,108,49,?,216,?,?,?,87,?,?,148
m,41-50,nein,ledig,ja,Montag,'12-14 Uhr','> 25 km',>4500,'1 bis 5',192,?,5,9,100,62,103,87,103,?,?,?,?,?,?,?
m,18-30,ja,Partnerschaft,ja,Freitag,'12-14 Uhr','10 - 25 km',2000-<3200,'> 5',120,?,6,?,28,57,9,?,56,120,70,?,?,?,92,?
m,>60,nein,ledig,nein,Samstag,'>17 Uhr','< 10 km',<1000,'> 5',328,?,?,?,22,?,?,?,158,?,?,?,?,?,?,306
m,51-60,ja,Partnerschaft,ja,Dienstag,'14-17 Uhr','> 25 km',2000-<3200,'> 5',620,120,6,40,33,20,?,?,160,84,?,225,?,?,?,152
w,41-50,ja,Partnerschaft,nein,Dienstag,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',462,?,6,?,?,42,?,?,?,?,?,351,60,?,?,?
m,18-30,ja,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',2000-<3200,'> 5',12,?,12,21,?,48,?,?,?,?,?,?,?,?,?,?
m,18-30,nein,ledig,ja,Samstag,'10-12 Uhr','< 10 km',2000-<3200,'> 5',728,79,10,?,?,82,?,?,142,?,?,244,?,?,?,216
m,18-30,ja,Partnerschaft,ja,Donnerstag,'14-17 Uhr','< 10 km',1000-<2000,'1 bis 5',370,?,?,?,?,?,?,?,?,13,?,357,?,?,?,?
w,>60,nein,ledig,ja,Montag,'10-12 Uhr','10 - 25 km',<1000,'> 5',605,?,6,18,10,76,177,?,81,212,?,?,?,?,?,118
m,18-30,nein,ledig,nein,Samstag,'10-12 Uhr','< 10 km',1000-<2000,'> 5',128,72,12,5,?,48,?,?,?,?,?,44,?,?,?,?
w,18-30,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',<1000,'1 bis 5',226,?,?,8,53,?,?,?,36,141,?,?,?,?,24,?
m,>60,ja,ledig,ja,Freitag,'10-12 Uhr','< 10 km',2000-<3200,'> 5',343,?,18,?,48,21,67,?,180,20,46,?,?,?,57,?
m,41-50,nein,ledig,nein,Montag,'10-12 Uhr','10 - 25 km',1000-<2000,'1 bis 5',251,?,6,?,?,46,?,?,?,129,?,?,?,?,?,116
m,31-40,ja,Partnerschaft,ja,Donnerstag,'12-14 Uhr','< 10 km',>4500,'1 bis 5',373,?,6,?,?,72,?,?,?,?,135,156,?,?,13,?
m,18-30,nein,Partnerschaft,nein,Freitag,'>17 Uhr','< 10 km',<1000,'> 5',858,?,14,18,?,32,?,?,?,43,?,423,?,?,?,378
w,31-40,nein,Partnerschaft,ja,Montag,'10-12 Uhr','< 10 km',>4500,'> 5',375,?,12,?,52,?,?,?,?,?,?,206,36,?,26,43
m,>60,nein,Partnerschaft,nein,Samstag,'<10 Uhr','10 - 25 km',2000-<3200,'> 5',175,?,?,?,?,?,?,?,?,50,33,?,15,41,24,86
m,51-60,nein,Partnerschaft,ja,Dienstag,'10-12 Uhr','> 25 km',3200-<4500,0,145,?,6,28,129,24,132,?,80,?,?,?,?,?,?,?
w,41-50,nein,ledig,nein,Donnerstag,'<10 Uhr','< 10 km',1000-<2000,'> 5',5,?,5,12,?,75,?,?,?,?,?,?,?,?,?,?
m,31-40,nein,ledig,ja,Samstag,'12-14 Uhr','< 10 km',2000-<3200,'> 5',72,?,?,?,72,?,132,?,166,?,?,?,?,?,?,?
w,>60,nein,ledig,ja,Freitag,'>17 Uhr','< 10 km',3200-<4500,'> 5',509,?,?,?,110,?,74,?,97,30,?,369,?,?,?,?
m,41-50,nein,ledig,nein,Samstag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',407,?,?,27,50,?,58,?,103,123,100,47,?,105,54,78
m,31-40,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',335,50,5,13,32,14,80,?,?,?,?,?,?,?,?,248
m,31-40,nein,ledig,ja,Samstag,'<10 Uhr','10 - 25 km',1000-<2000,0,332,?,?,?,35,?,62,24,189,138,78,71,?,?,99,2
m,>60,nein,ledig,ja,Montag,'12-14 Uhr','< 10 km',1000-<2000,'1 bis 5',554,?,?,?,33,105,39,?,264,114,78,?,?,?,75,206
w,51-60,nein,ledig,nein,Samstag,'12-14 Uhr','> 25 km',1000-<2000,'> 5',795,?,3,18,56,57,?,?,200,159,?,501,?,?,?,?
m,51-60,ja,ledig,ja,Montag,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',447,?,4,14,84,20,69,90,?,?,?,?,23,?,?,246
m,>60,ja,ledig,ja,Mittwoch,'14-17 Uhr','10 - 25 km',1000-<2000,'> 5',359,68,?,?,75,?,?,?,?,178,21,124,15,?,102,56
w,>60,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',3200-<4500,'> 5',368,?,8,?,44,?,?,?,141,150,68,104,?,?,16,?
w,31-40,nein,ledig,ja,Donnerstag,'12-14 Uhr','10 - 25 km',1000-<2000,0,324,104,?,15,?,?,?,?,?,122,?,?,?,83,?,?
m,31-40,nein,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',<1000,'> 5',502,?,2,42,?,104,?,87,?,17,?,162,64,?,?,170
m,>60,nein,ledig,nein,Dienstag,'14-17 Uhr','< 10 km',1000-<2000,'1 bis 5',481,?,21,27,135,?,297,?,180,12,183,?,?,?,8,142
m,18-30,nein,Partnerschaft,nein,Montag,'14-17 Uhr','< 10 km',<1000,0,315,?,?,14,?,?,?,?,?,148,?,?,60,?,?,93
m,41-50,ja,Partnerschaft,ja,Mittwoch,'14-17 Uhr','< 10 km',>4500,'> 5',642,?,7,51,?,30,?,122,?,192,?,156,62,?,21,?
w,>60,nein,Partnerschaft,nein,Donnerstag,'<10 Uhr','< 10 km',1000-<2000,'> 5',368,?,?,16,?,?,?,?,237,99,57,?,18,?,66,?
w,>60,ja,ledig,ja,Samstag,'14-17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',89,?,5,22,?,31,?,?,?,43,84,?,?,?,23,?
m,>60,ja,Partnerschaft,ja,Samstag,'>17 Uhr','< 10 km',2000-<3200,'> 5',624,249,9,5,?,?,?,?,?,?,?,366,?,?,?,?
w,>60,nein,ledig,ja,Samstag,'>17 Uhr','10 - 25 km',2000-<3200,'> 5',673,243,2,26,?,?,172,?,?,69,32,?,44,?,48,?
m,41-50,nein,Partnerschaft,nein,Montag,'14-17 Uhr','10 - 25 km',<1000,'> 5',248,?,5,?,?,105,?,?,?,?,243,?,?,?,24,?
m,41-50,ja,Partnerschaft,ja,Montag,'10-12 Uhr','10 - 25 km',1000-<2000,'1 bis 5',225,?,9,39,30,45,?,?,162,?,?,171,?,?,?,?
m,41-50,ja,ledig,nein,Montag,'10-12 Uhr','< 10 km',2000-<3200,0,164,?,?,?,?,?,?,?,?,53,80,84,?,?,34,?
m,51-60,nein,Partnerschaft,ja,Samstag,'14-17 Uhr','< 10 km',1000-<2000,'1 bis 5',445,?,?,16,84,108,?,?,36,200,15,?,?,?,66,172
m,18-30,nein,ledig,ja,Freitag,'>17 Uhr','< 10 km',>4500,'1 bis 5',353,?,9,12,?,24,55,176,?,?,96,?,?,?,54,?
m,18-30,ja,Partnerschaft,ja,Montag,'<10 Uhr','< 10 km',3200-<4500,'> 5',435,?,?,?,37,?,180,?,?,?,?,?,144,?,?,254
m,18-30,ja,ledig,nein,Samstag,'<10 Uhr','< 10 km',1000-<2000,'1 bis 5',117,?,15,11,?,?,?,20,?,?,?,82,?,?,?,?
w,31-40,nein,Partnerschaft,ja,Mittwoch,'<10 Uhr','< 10 km',1000-<2000,'> 5',863,?,6,18,98,?,220,45,?,135,58,202,?,?,63,222
m,51-60,nein,Partnerschaft,nein,Dienstag,'10-12 Uhr','< 10 km',3200-<4500,'1 bis 5',382,?,?,16,135,?,86,201,249,?,?,30,?,?,?,?
w,51-60,nein,Partnerschaft,nein,Montag,'12-14 Uhr','< 10 km',2000-<3200,'1 bis 5',240,?,6,?,?,62,?,?,?,234,?,?,?,?,?,?
w,31-40,nein,Partnerschaft,nein,Montag,'12-14 Uhr','10 - 25 km',2000-<3200,'1 bis 5',436,?,3,?,?,?,?,?,?,?,?,?,45,?,?,345
w,31-40,nein,ledig,ja,Dienstag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',834,?,15,39,?,?,?,?,180,?,138,96,54,?,?,?
w,31-40,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,0,219,?,20,8,99,?,56,?,?,?,?,?,?,100,?,?
m,18-30,nein,ledig,ja,Donnerstag,'14-17 Uhr','10 - 25 km',3200-<4500,'> 5',368,?,5,?,105,46,85,?,261,?,?,258,?,?,?,?
m,31-40,nein,Partnerschaft,nein,Mittwoch,'12-14 Uhr','10 - 25 km',1000-<2000,'> 5',70,?,?,13,57,?,37,?,?,?,?,?,?,?,?,?
m,41-50,nein,ledig,ja,Samstag,'12-14 Uhr','< 10 km',2000-<3200,0,486,75,18,?,?,18,?,?,?,50,93,206,?,?,?,?
w,>60,nein,Partnerschaft,ja,Freitag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',355,?,6,?,?,27,?,?,?,147,?,103,?,?,?,?
w,51-60,nein,ledig,nein,Samstag,'10-12 Uhr','< 10 km',2000-<3200,0,195,59,?,?,?,?,?,?,?,?,?,?,?,?,?,136
w,>60,nein,Partnerschaft,ja,Dienstag,'12-14 Uhr','< 10 km',2000-<3200,'> 5',286,?,?,?,?,?,?,?,?,99,126,160,?,?,72,?
m,18-30,nein,ledig,nein,Montag,'>17 Uhr','< 10 km',2000-<3200,'> 5',313,?,?,?,21,111,?,?,?,63,59,?,?,?,4,84
w,41-50,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',3200-<4500,'1 bis 5',324,?,10,?,?,?,219,?,?,?,?,?,?,?,?,95
w,51-60,nein,ledig,ja,Freitag,'<10 Uhr','10 - 25 km',2000-<3200,'> 5',472,?,12,14,34,90,22,?,89,?,?,417,?,?,?,?
m,18-30,ja,Partnerschaft,ja,Samstag,'10-12 Uhr','10 - 25 km',<1000,0,268,86,12,?,?,92,?,?,?,?,?,170,?,?,?,?
w,>60,ja,ledig,nein,Dienstag,'12-14 Uhr','> 25 km',<1000,'1 bis 5',481,?,?,16,93,?,82,?,30,372,?,?,?,?,?,?
m,51-60,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',2000-<3200,'> 5',213,?,?,12,6,?,170,?,82,156,?,?,39,?,?,?
m,18-30,ja,ledig,nein,Mittwoch,'>17 Uhr','10 - 25 km',2000-<3200,'1 bis 5',288,?,6,?,?,?,?,?,?,?,?,282,?,?,?,?
w,51-60,ja,Partnerschaft,ja,Freitag,'<10 Uhr','< 10 km',1000-<2000,'1 bis 5',54,?,6,33,48,94,242,?,324,?,?,?,?,?,?,?
m,18-30,ja,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',254,60,2,?,?,54,?,84,?,42,?,?,66,?,?,?
m,31-40,nein,ledig,nein,Montag,'<10 Uhr','< 10 km',1000-<2000,'1 bis 5',396,?,6,36,?,?,?,?,?,51,?,339,?,?,?,?
w,31-40,nein,Partnerschaft,nein,Freitag,'>17 Uhr','10 - 25 km',2000-<3200,'> 5',176,?,?,?,102,?,162,?,?,?,?,?,?,?,?,74
w,31-40,ja,Partnerschaft,ja,Freitag,'10-12 Uhr','> 25 km',3200-<4500,'> 5',393,?,24,20,54,68,90,90,?,46,225,?,?,?,51,?
m,18-30,ja,ledig,ja,Samstag,'10-12 Uhr','10 - 25 km',<1000,'1 bis 5',961,?,?,?,28,?,88,?,303,78,52,621,?,?,29,260
m,41-50,nein,Partnerschaft,ja,Dienstag,'14-17 Uhr','< 10 km',1000-<2000,0,437,?,12,?,?,?,?,?,138,47,?,?,?,?,?,200
w,31-40,nein,ledig,ja,Montag,'>17 Uhr','10 - 25 km',2000-<3200,'1 bis 5',578,38,?,?,?,?,?,?,?,?,?,152,?,62,?,326
m,41-50,nein,Partnerschaft,ja,Samstag,'<10 Uhr','< 10 km',1000-<2000,'1 bis 5',202,101,2,?,?,28,?,?,?,?,?,?,27,?,30,?
m,31-40,ja,ledig,ja,Samstag,'>17 Uhr','< 10 km',1000-<2000,'> 5',35,?,?,?,35,?,?,?,?,?,?,?,?,?,?,?
m,18-30,nein,ledig,ja,Mittwoch,'14-17 Uhr','10 - 25 km',2000-<3200,'1 bis 5',150,?,4,39,58,?,?,?,254,?,?,?,88,?,?,?
m,18-30,ja,ledig,ja,Montag,'12-14 Uhr','10 - 25 km',1000-<2000,'> 5',205,?,8,24,?,?,?,?,?,158,116,?,?,?,42,81
m,18-30,ja,Partnerschaft,nein,Samstag,'<10 Uhr','< 10 km',>4500,0,204,?,?,?,?,?,?,?,?,?,?,108,?,?,96,?
w,18-30,nein,ledig,nein,Montag,'<10 Uhr','< 10 km',1000-<2000,'1 bis 5',290,?,6,11,?,?,?,?,?,33,2,?,?,?,48,282
m,>60,ja,ledig,nein,Montag,'10-12 Uhr','< 10 km',>4500,'> 5',100,?,4,16,?,25,?,?,?,80,?,?,16,?,?,?
w,18-30,nein,ledig,ja,Freitag,'<10 Uhr','< 10 km',1000-<2000,'1 bis 5',82,?,8,32,29,6,72,?,?,49,18,?,27,?,39,?
m,51-60,nein,Partnerschaft,nein,Montag,'14-17 Uhr','> 25 km',2000-<3200,'> 5',332,201,10,?,?,22,?,?,?,?,?,94,?,?,?,?
w,18-30,nein,ledig,nein,Freitag,'10-12 Uhr','< 10 km',1000-<2000,'1 bis 5',237,159,5,12,?,?,?,?,?,73,?,?,?,?,?,?
w,18-30,nein,Partnerschaft,nein,Dienstag,'10-12 Uhr','10 - 25 km',<1000,'> 5',276,97,?,?,?,?,?,?,?,?,?,105,?,?,?,74
m,51-60,ja,ledig,nein,Freitag,'10-12 Uhr','< 10 km',1000-<2000,'> 5',220,?,?,?,?,?,?,?,?,297,123,?,?,?,57,97
m,51-60,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',<1000,'> 5',72,?,?,?,?,?,?,?,?,?,?,?,72,?,?,?
w,31-40,nein,ledig,ja,Samstag,'<10 Uhr','< 10 km',1000-<2000,0,149,?,12,?,?,16,?,?,?,64,?,73,?,?,?,?
w,>60,ja,Partnerschaft,ja,Mittwoch,'14-17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',126,?,?,?,24,44,125,?,?,?,58,?,?,?,46,?
m,18-30,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',461,255,?,?,138,24,52,?,115,44,?,?,?,?,?,?
m,18-30,nein,ledig,ja,Mittwoch,'12-14 Uhr','10 - 25 km',1000-<2000,'> 5',746,?,8,24,?,25,?,?,?,67,75,354,?,?,?,309
w,18-30,nein,ledig,ja,Samstag,'<10 Uhr','10 - 25 km',2000-<3200,'1 bis 5',177,?,6,3,?,?,?,?,?,?,?,94,?,?,?,71
w,31-40,ja,ledig,ja,Samstag,'12-14 Uhr','10 - 25 km',2000-<3200,'> 5',59,?,?,?,?,34,?,?,?,?,?,?,?,?,25,?
w,18-30,ja,ledig,ja,Freitag,'10-12 Uhr','> 25 km',2000-<3200,'1 bis 5',423,?,4,?,48,?,55,?,252,?,?,100,?,?,?,91
m,>60,ja,Partnerschaft,ja,Donnerstag,'<10 Uhr','10 - 25 km',<1000,'1 bis 5',196,124,18,21,?,80,?,?,?,108,45,?,?,?,54,?
